Class|0.999|0.9|0.75|0.5
FreeColClient|16|25|32|44
FreeColObject|15|21|28|56
FreeColServer|8|23|34|54
ImageLibrary|22|32|38|59
Specification|11|47|58|102
CandidateURI|13|22|32|53
CrawlController|8|39|72|138
Heritrix|5|27|55|102
SettingsHandler|18|20|25|39
WorkQueue|8|14|25|46
BRuleEngine|2|6|10|23
CommandLine|4|11|13|38
LPBRuleEngine|6|9|12|23
LPInterpreter|2|5|12|24
N3JenaWriterCommon|12|22|32|60
Node|31|35|38|44
ParserBase|26|31|33|45
Rule|7|14|18|30
BVDecompose|4|14|18|32
BVDecomposeSegCVSub|4|18|22|38
DatabaseUtils|18|31|42|71
Experiment|3|14|28|50
NearestNeighbourSearch|14|15|17|22
Node|11|13|18|26
RegOptimizer|9|12|19|29
ResultMatrix|27|47|72|136
Rule|3|12|15|38
Script|4|10|17|29
TestInstances|3|23|40|83
XMLDocument|23|27|32|46
