Class|0.999|0.9|0.75|0.5
FreeColClient|35,8,5,3(4),2(6),1(3)|9,6,5(2),4(3),3(6),2(8),1(4)|5,4(3),3(7),2(16),1(5)|3(7),2(17),1(20)
FreeColObject|32,15,4,1(12)|15,7,6,4(5),3,1(12)|14,4(2),3(4),2(8),1(13)|2(7),1(49)
FreeColServer|62,3,2(4),1(2)|11,8,7,4(3),3(5),2(10),1(2)|5,3(9),2(19),1(5)|3,2(19),1(34)
ImageLibrary|47,3,1(20)|10(2),5(2),3(5),2(2),1(21)|6,5,3(8),2(7),1(21)|3,2(9),1(49)
Specification|122,1(10)|15,9,7,5(2),4(3),3(11),2(18),1(10)|14,6,5,4,3(13),2(23),1(18)|3,2(28),1(73)
CandidateURI|50,3(2),2(2),1(8)|15,7,6,4(2),3(6),2(3),1(8)|8,4,3(7),2(12),1(11)|3(2),2(11),1(40)
CrawlController|148,7,2,1(5)|16(2),10,8,7(6),6,5(2),4(2),3(5),2(12),1(7)|7,6(2),5(3),4(3),3(11),2(31),1(21)|5,3(2),2(16),1(119)
Heritrix|135,2,1(3)|26,11,9(2),7(3),6(2),5(3),4(4),3(2),2(6),1(3)|16,5(2),4(4),3(12),2(26),1(10)|16,3(4),2(15),1(82)
SettingsHandler|18,9,6,2(2),1(13)|9,8,7,6,3,2(2),1(13)|8,6,4,3(3),2(4),1(15)|4(2),2(5),1(32)
WorkQueue|43,4(2),3,2,1(3)|11,10,6,5(2),4(2),3(3),2,1(3)|4(4),3(8),2(6),1(7)|3(2),2(9),1(35)
BRuleEngine|22,6|9,6(2),3,2(2)|6,4,3(3),2(4),1|2(5),1(18)
CommandLine|37,3,2,1|6(2),5(2),4(3),3(2),2,1|5(2),4(4),3(4),2(2),1|3,2(3),1(34)
LPBRuleEngine|21,4,3(2),2,1|8,6,5,4,3(2),2(2),1|6,5,4,3(2),2(6),1|4,3(2),2(4),1(16)
LPInterpreter|34,1|21,6,4,3,1|5(2),4(3),3,2(4),1(2)|3(3),2(5),1(16)
N3JenaWriterCommon|48,9,2(2),1(8)|9,8,6(2),5,4(3),3(3),2(3),1(8)|6,4(3),3(8),2(7),1(13)|3,2(7),1(52)
Node|18,4,2,1(28)|6,5,4,3,2(3),1(28)|4(2),3(2),2(4),1(30)|2(8),1(36)
ParserBase|27,4,2,1(23)|6,5(3),4(2),2(2),1(23)|5(2),4(3),3,2(4),1(23)|3(2),2(7),1(36)
Rule|29,9,2,1(4)|7,6,4(5),3,2(2),1(4)|6,4(3),3(3),2(6),1(5)|4,3,2(9),1(19)
BVDecompose|34,2,1(2)|7,3(7),2(4),1(2)|3(7),2(6),1(5)|2(6),1(26)
BVDecomposeSegCVSub|43,2,1(2)|6(2),3(6),2(7),1(3)|3(8),2(9),1(5)|2(9),1(29)
DatabaseUtils|58,8,1(16)|9,8,7,6(2),5(2),3(4),2(4),1(16)|7,4,3(9),2(13),1(18)|3,2(9),1(61)
Experiment|60,1(2)|21,6(2),4(3),3(3),2(3),1(2)|5(3),4,3(5),2(9),1(10)|2(12),1(38)
NearestNeighbourSearch|12,3,2,1(11)|8,4,3,2,1(11)|4,3(3),2(2),1(11)|3,2(4),1(17)
Node|17,6,4,3(7),1|13,6,4,3(7),2(2),1|6,4,3(8),2(7),1|3(8),2(7),1(11)
RegOptimizer|33,1(8)|18,8,5,2,1(8)|9,5,3(2),2(6),1(9)|5,2(8),1(20)
ResultMatrix|136,2(2),1(24)|29,19,14,11,7,5(3),4(6),3(4),2(4),1(25)|8(2),7,5(4),4(4),3(9),2(26),1(26)|8,3(2),2(17),1(116)
Rule|45,1(2)|17,4(2),3(6),2,1(2)|11,4(2),3(7),2(2),1(3)|5,3,2(3),1(33)
Script|34,1(3)|11,6,4(3),3,2,1(3)|4,3(5),2(7),1(4)|2(8),1(21)
TestInstances|95,1(2)|39,7(2),6,5(2),4,3(2),2(4),1(10)|17,13,5,3(6),2(13),1(18)|5,3,2(8),1(73)
XMLDocument|34,2,1(21)|8,7(2),6(2),2,1(21)|7,6,5,3(3),2(4),1(22)|3(2),2(7),1(37)
