Class|0.999|0.9|0.75|0.5
FreeColClient|31|32|34|48
FreeColObject|27|27|29|56
FreeColServer|29|30|36|55
ImageLibrary|37|38|39|60
Specification|51|52|61|102
CandidateURI|30|30|33|55
CrawlController|50|54|78|138
Heritrix|37|43|57|102
SettingsHandler|22|22|25|41
WorkQueue|20|21|26|47
BRuleEngine|8|8|9|23
CommandLine|13|13|14|39
LPBRuleEngine|10|10|12|25
LPInterpreter|8|9|14|24
N3JenaWriterCommon|25|25|34|60
Node|37|37|38|44
ParserBase|34|34|36|45
Rule|18|18|19|31
BVDecompose|16|16|24|32
BVDecomposeSegCVSub|19|19|30|38
DatabaseUtils|37|38|42|71
Experiment|19|21|31|50
NearestNeighbourSearch|17|17|18|23
Node|18|18|18|33
RegOptimizer|18|18|23|29
ResultMatrix|58|61|77|136
Rule|13|13|17|38
Script|15|15|18|29
TestInstances|28|31|46|83
XMLDocument|32|32|35|46
