Class|0.999|0.9|0.75|0.5
FreeColClient|5(3),3(8),2(16),1(4)|5(2),4,3(8),2(16),1(5)|5,3(9),2(19),1(5)|3(3),2(21),1(24)
FreeColObject|15,4(2),3(4),2(8),1(12)|15,4(2),3(4),2(8),1(12)|14,4(2),3(3),2(9),1(14)|2(7),1(49)
FreeColServer|6,5(2),4(2),3(6),2(15),1(3)|6,5(2),4,3(6),2(17),1(3)|3(9),2(21),1(6)|2(20),1(35)
ImageLibrary|9,3(9),2(7),1(20)|8,3(9),2(7),1(21)|8,3(8),2(8),1(22)|2(10),1(50)
Specification|15,6,5,4(4),3(12),2(22),1(10)|15,6,5,4(3),3(12),2(24),1(10)|14,6,4,3(12),2(26),1(20)|3,2(28),1(73)
CandidateURI|11,3(8),2(12),1(9)|11,3(8),2(12),1(9)|8,3(7),2(14),1(11)|2(13),1(42)
CrawlController|9,7(2),6(4),5(4),4(8),3(7),2(18),1(6)|9,7,6(4),5(3),4(7),3(10),2(21),1(7)|7,6(2),5(2),4(2),3(8),2(38),1(25)|5,3(2),2(16),1(119)
Heritrix|27,6(4),5(3),4(6),3(7),2(13),1(3)|22,6(2),5(3),4(7),3(7),2(19),1(4)|16,5(2),4(4),3(10),2(28),1(12)|16,3(4),2(15),1(82)
SettingsHandler|9,6(2),5,3(2),2(2),1(14)|9,6(2),5,3(2),2(2),1(14)|8,6,4,3(3),2(4),1(15)|3,2(7),1(33)
WorkQueue|6(2),5,4(3),3(6),2(4),1(4)|6,5(2),4(3),3(6),2(4),1(5)|4(2),3(9),2(9),1(6)|3,2(10),1(36)
BRuleEngine|6(2),5,3,2(4)|6(2),5,3,2(4)|6,5,4,3,2(5)|2(5),1(18)
CommandLine|5(2),4(5),3(2),2(3),1|5(2),4(5),3(2),2(3),1|5(2),4(4),3(3),2(3),1(2)|2(4),1(35)
LPBRuleEngine|7,6,4(2),3(2),2(3),1|7,6,4(2),3(2),2(3),1|6,5,4,3(2),2(6),1|4,2(6),1(18)
LPInterpreter|13,6,5,4,2(3),1|7,6(2),5,4,2(3),1|5(2),4,3(2),2(6),1(3)|3(3),2(5),1(16)
N3JenaWriterCommon|7,6(4),4(2),3(4),2(4),1(10)|7,6(4),4(2),3(4),2(4),1(10)|4(3),3(9),2(8),1(14)|3,2(7),1(52)
Node|4(2),3(2),2(5),1(28)|4(2),3(2),2(5),1(28)|4,3(3),2(5),1(29)|2(8),1(36)
ParserBase|5(2),4(2),3,2(6),1(23)|5(2),4(2),3,2(6),1(23)|5,4,3(3),2(7),1(24)|3(2),2(7),1(36)
Rule|5,4(2),3(5),2(6),1(4)|5,4(2),3(5),2(6),1(4)|4(2),3(6),2(7),1(4)|3(2),2(9),1(20)
BVDecompose|7,4,3,2(11),1(2)|7,4,3,2(11),1(2)|3,2(12),1(11)|2(6),1(26)
BVDecomposeSegCVSub|7,5,4,3,2(13),1(2)|7,5,4,3,2(13),1(2)|2(17),1(13)|2(9),1(29)
DatabaseUtils|7,5,4(4),3(8),2(7),1(16)|7,5,4(3),3(8),2(9),1(16)|7,4,3(9),2(13),1(18)|3,2(9),1(61)
Experiment|9,8,6,5,4,3(4),2(8),1(2)|6(2),5(2),4,3(6),2(8),1(2)|5,4(2),3(4),2(13),1(11)|2(12),1(38)
NearestNeighbourSearch|5,3(2),2(3),1(11)|5,3(2),2(3),1(11)|4,3(2),2(3),1(12)|2(5),1(18)
Node|6,4,3(8),2(7),1|6,4,3(8),2(7),1|6,4,3(8),2(7),1|3,2(14),1(18)
RegOptimizer|9,5,4,3,2(6),1(8)|9,5,4,3,2(6),1(8)|6,4,2(10),1(11)|4,2(9),1(19)
ResultMatrix|19,17,10,7,5(2),4(8),3(5),2(15),1(24)|19,14,8,7,5(2),4(7),3(6),2(18),1(24)|8,7,5(3),4(6),3(7),2(30),1(29)|8,3(2),2(17),1(116)
Rule|11,6,4(2),3(6),2,1(2)|11,6,4(2),3(6),2,1(2)|6(2),3(8),2(4),1(3)|5,3,2(3),1(33)
Script|5,4(3),3(2),2(5),1(4)|5,4(3),3(2),2(5),1(4)|4(2),3(3),2(7),1(6)|2(8),1(21)
TestInstances|25,8,7,5(2),4(2),3(4),2(10),1(7)|17,8(2),7,5,4(2),3(5),2(10),1(9)|10,7(2),6,3(4),2(17),1(21)|5,3,2(8),1(73)
XMLDocument|7,6,5,3(3),2(4),1(22)|7,6,5,3(3),2(4),1(22)|7,3(5),2(6),1(23)|3(2),2(7),1(37)
