Class|0.999|0.9|0.75|0.5
FreeColClient|16|16|18|42
FreeColObject|15|15|16|52
FreeColServer|8|8|15|50
ImageLibrary|22|23|26|56
Specification|11|11|37|94
CandidateURI|13|13|15|53
CrawlController|8|8|19|137
Heritrix|5|5|11|99
SettingsHandler|18|18|19|37
WorkQueue|8|8|10|41
BRuleEngine|2|2|3|22
CommandLine|4|4|9|37
LPBRuleEngine|6|6|8|21
LPInterpreter|2|2|3|22
N3JenaWriterCommon|12|12|18|59
Node|31|31|33|41
ParserBase|26|26|26|43
Rule|7|7|7|27
BVDecompose|4|4|16|32
BVDecomposeSegCVSub|4|4|13|38
DatabaseUtils|18|18|25|64
Experiment|3|3|11|47
NearestNeighbourSearch|14|14|14|21
Node|11|11|11|22
RegOptimizer|9|9|12|24
ResultMatrix|27|27|39|135
Rule|3|3|6|37
Script|4|4|4|28
TestInstances|3|3|6|79
XMLDocument|23|23|24|44
