Class|0.999|0.9|0.75|0.5
FreeColClient|35,8,5,3(4),2(6),1(3)|35,8,5,3(4),2(6),1(3)|27,8,6,5,3(4),2(7),1(3)|5,3(7),2(15),1(19)
FreeColObject|32,15,4,1(12)|32,15,4,1(12)|32,14,4,1(13)|4,3(2),2(4),1(45)
FreeColServer|62,3,2(4),1(2)|62,3,2(4),1(2)|38,9,5,3(2),2(7),1(3)|5,3(3),2(15),1(31)
ImageLibrary|47,3,1(20)|46,3,1(21)|28,10,5,3(2),1(21)|3(4),2(6),1(46)
Specification|122,1(10)|122,1(10)|43,14,7,5,4(2),3(7),2(10),1(14)|3(9),2(20),1(65)
CandidateURI|50,3(2),2(2),1(8)|50,3(2),2(2),1(8)|32,17,3(2),2(2),1(9)|3(2),2(11),1(40)
CrawlController|148,7,2,1(5)|148,7,2,1(5)|117,8,7,5,4,3(2),2(3),1(9)|5,3(3),2(15),1(118)
Heritrix|135,2,1(3)|135,2,1(3)|116,8,4,2(4),1(4)|16,3(7),2(12),1(79)
SettingsHandler|18,9,6,2(2),1(13)|18,9,6,2(2),1(13)|18,8,6,2(2),1(14)|5,4,3,2(4),1(30)
WorkQueue|43,4(2),3,2,1(3)|43,4(2),3,2,1(3)|39,4(2),3(2),2,1(4)|4(2),3(3),2(6),1(30)
BRuleEngine|22,6|22,6|19,6,3|3,2(4),1(17)
CommandLine|37,3,2,1|37,3,2,1|10,9,5(2),4(2),3,2,1|3(2),2(2),1(33)
LPBRuleEngine|21,4,3(2),2,1|21,4,3(2),2,1|8(2),5,4,3(2),2,1|4(2),3(2),2(3),1(14)
LPInterpreter|34,1|34,1|28,6,1|5,3(3),2(3),1(15)
N3JenaWriterCommon|48,9,2(2),1(8)|48,9,2(2),1(8)|31,9,6,4,3,2(3),1(10)|3(2),2(6),1(51)
Node|18,4,2,1(28)|18,4,2,1(28)|10,5,4,3,2,1(28)|4,3,2(6),1(33)
ParserBase|27,4,2,1(23)|27,4,2,1(23)|27,4,2,1(23)|4,3(3),2(4),1(35)
Rule|29,9,2,1(4)|29,9,2,1(4)|29,9,2,1(4)|4(2),3(3),2(5),1(17)
BVDecompose|34,2,1(2)|34,2,1(2)|6,3(6),2(5),1(4)|2(6),1(26)
BVDecomposeSegCVSub|43,2,1(2)|43,2,1(2)|14,9,3(6),2,1(4)|2(9),1(29)
DatabaseUtils|58,8,1(16)|58,8,1(16)|35,8,7,4,3(3),2,1(17)|5,3(6),2(2),1(55)
Experiment|60,1(2)|60,1(2)|40,5,3(3),2(2),1(4)|3(3),2(9),1(35)
NearestNeighbourSearch|12,3,2,1(11)|12,3,2,1(11)|12,3,2,1(11)|3(2),2(3),1(16)
Node|17,6,4,3(7),1|17,6,4,3(7),1|17,6,4,3(7),1|6,4,3(8),2(3),1(9)
RegOptimizer|33,1(8)|33,1(8)|18,8,5,2,1(8)|8,3(2),2(6),1(15)
ResultMatrix|136,2(2),1(24)|136,2(2),1(24)|91,8,7(2),5,4(2),2(6),1(26)|8,4,3(2),2(15),1(116)
Rule|45,1(2)|45,1(2)|31,7,4,3,1(2)|5,3(2),2(2),1(32)
Script|34,1(3)|34,1(3)|34,1(3)|3,2(7),1(20)
TestInstances|95,1(2)|95,1(2)|85,7,2,1(3)|7,5,3,2(6),1(70)
XMLDocument|34,2,1(21)|34,2,1(21)|27,7,2,1(21)|3(4),2(5),1(35)
