Class|0.999|0.9|0.75|0.5
FreeColClient|16|23|33|46
FreeColObject|16|24|31|55
FreeColServer|9|25|33|56
ImageLibrary|22|35|41|64
Specification|13|49|59|104
CandidateURI|13|23|31|55
CrawlController|8|48|76|136
Heritrix|7|35|59|108
SettingsHandler|18|22|26|41
WorkQueue|8|19|30|48
BRuleEngine|2|6|9|23
CommandLine|4|13|15|38
LPBRuleEngine|6|8|11|22
LPInterpreter|2|7|13|28
N3JenaWriterCommon|12|31|41|62
Node|31|35|36|43
ParserBase|26|32|34|47
Rule|7|16|20|33
BVDecompose|4|16|18|27
BVDecomposeSegCVSub|4|21|23|33
DatabaseUtils|18|33|43|69
Experiment|3|22|31|48
NearestNeighbourSearch|14|16|17|23
Node|11|13|16|25
RegOptimizer|9|13|20|29
ResultMatrix|36|70|85|140
Rule|5|14|17|38
Script|4|13|17|31
TestInstances|4|28|38|61
XMLDocument|23|31|35|44
