Class|0.999|0.9|0.75|0.5
FreeColClient|35,8,5,3(4),2(6),1(3)|11,6(2),5(3),3(6),2(8),1(3)|5,3(11),2(16),1(5)|3(7),2(15),1(24)
FreeColObject|17,15(2),4,1(12)|15,5(2),4(4),3(2),2,1(14)|14,4(2),3(3),2(7),1(18)|3,2(6),1(48)
FreeColServer|60,3,2(5),1(2)|8(2),6,4(2),3(7),2(11),1(2)|6,4(2),3(7),2(17),1(6)|3(2),2(15),1(39)
ImageLibrary|47,3,1(20)|10,5(2),4,3(6),2(3),1(22)|6,5,3(5),2(10),1(24)|2(6),1(58)
Specification|120,1(12)|13,10,7,6,5(2),4,3(11),2(18),1(13)|13,6,5,4(2),3(12),2(22),1(20)|3,2(26),1(77)
CandidateURI|50,3(2),2(2),1(8)|13,7,5(3),4(2),3(2),2(5),1(9)|13,4(3),3(5),2(6),1(16)|3(2),2(9),1(44)
CrawlController|148,7,2,1(5)|16,13,7(7),6,5(2),4(3),3(3),2(17),1(13)|7,6(3),5,4(3),3(9),2(34),1(25)|5,4,3(3),2(13),1(118)
Heritrix|131,3,2,1(4)|26,8,7(4),6(2),5(2),4(5),3(4),2(8),1(8)|17,7,6,4(6),3(8),2(20),1(22)|16,3(3),2(11),1(93)
SettingsHandler|18,9,6,2(2),1(13)|9,7,6,5,3,2(3),1(14)|8,6,4,3(3),2(3),1(17)|3,2(7),1(33)
WorkQueue|43,4(2),3,2,1(3)|11,9,5,4(2),3(5),2(2),1(7)|5,4(2),3(5),2(9),1(13)|3,2(9),1(38)
BRuleEngine|22,6|7,6,5(2),3,2|6,5,4,3(2),2(3),1|2(5),1(18)
CommandLine|37,3,2,1|9,5(2),4(3),3(2),2,1(4)|5(3),4(4),3,2(2),1(5)|3,2(3),1(34)
LPBRuleEngine|21,4,3(2),2,1|10,7,4(2),3(2),2,1|7,6,4,3(2),2(5),1|4,3(2),2(5),1(14)
LPInterpreter|34,1|9,6,5(3),4,1|5(2),4(3),2(5),1(3)|3,2(5),1(22)
N3JenaWriterCommon|48,9,2(2),1(8)|9,7,6,5,4(3),3(2),2(2),1(20)|5,4,3(6),2(9),1(24)|2(7),1(55)
Node|18,4,2,1(28)|6,5,4,3,2(3),1(28)|6,4,3(2),2(4),1(28)|2(9),1(34)
ParserBase|27,4,2,1(23)|6,5,4(4),2(3),1(23)|5(2),4(3),3,2(3),1(25)|3,2(7),1(39)
Rule|29,9,2,1(4)|7,5,4(2),3(5),2(2),1(5)|4(3),3(6),2(3),1(8)|3(2),2(7),1(24)
BVDecompose|34,2,1(2)|5,3(7),2(4),1(4)|4,3(6),2(5),1(6)|2(11),1(16)
BVDecomposeSegCVSub|43,2,1(2)|5,4,3(6),2(7),1(6)|4,3(7),2(7),1(8)|2(14),1(19)
DatabaseUtils|58,8,1(16)|8(3),5,4(4),3(5),2(2),1(18)|7,4(3),3(7),2(10),1(22)|3(3),2(7),1(59)
Experiment|60,1(2)|11,6,4(4),3(5),2(3),1(8)|5,4(2),3(8),2(5),1(15)|3(4),2(6),1(38)
NearestNeighbourSearch|12,3,2,1(11)|4(3),3,2,1(11)|4(2),3(2),2,1(12)|3,2(3),1(19)
Node|17,6,4,3(7),1|11,6,4,3(9),1|5,4,3(13),1|3(10),2(4),1(11)
RegOptimizer|33,1(8)|18,5,4(2),2,1(8)|9,5,3(2),2(5),1(11)|5,2(8),1(20)
ResultMatrix|127,2(2),1(33)|19,8(2),7,6,5,4(6),3(12),2(5),1(41)|8,5(3),4(3),3(23),2(5),1(50)|3(3),2(18),1(119)
Rule|43,1(4)|15,4(2),3(6),2,1(4)|11,4,3(7),2(3),1(5)|5,3,2(3),1(33)
Script|34,1(3)|11,5,4,3,2(5),1(4)|6,4,3(2),2(8),1(5)|2(6),1(25)
TestInstances|92,3,1(2)|7(2),6(2),5,4(2),3(18),2,1(2)|6,3(23),2(8),1(6)|3(12),2(12),1(37)
XMLDocument|34,2,1(21)|7(2),5,4,3(2),2(3),1(22)|7,6,3(3),2(5),1(25)|4,3(2),2(6),1(35)
