Class|0.999|0.9|0.75|0.5
FreeColClient|31|31|33|50
FreeColObject|30|30|32|56
FreeColServer|28|29|35|58
ImageLibrary|39|40|41|64
Specification|55|56|60|105
CandidateURI|27|27|33|57
CrawlController|51|56|78|137
Heritrix|46|48|64|108
SettingsHandler|24|24|27|41
WorkQueue|26|28|31|49
BRuleEngine|8|8|9|23
CommandLine|14|14|16|39
LPBRuleEngine|10|10|11|24
LPInterpreter|11|11|13|28
N3JenaWriterCommon|36|37|42|62
Node|37|37|38|43
ParserBase|34|34|36|48
Rule|18|18|21|34
BVDecompose|15|17|18|27
BVDecomposeSegCVSub|20|23|23|33
DatabaseUtils|37|38|44|70
Experiment|24|26|31|52
NearestNeighbourSearch|17|17|17|24
Node|15|15|17|34
RegOptimizer|19|19|22|29
ResultMatrix|74|79|87|140
Rule|15|15|19|38
Script|16|16|18|31
TestInstances|35|35|41|73
XMLDocument|33|33|36|46
