Class|0.999|0.9|0.75|0.5
FreeColClient|16|17|22|44
FreeColObject|15|15|19|53
FreeColServer|8|9|20|53
ImageLibrary|22|23|24|62
Specification|11|13|38|97
CandidateURI|13|13|19|54
CrawlController|8|8|28|136
Heritrix|5|7|29|106
SettingsHandler|18|18|20|37
WorkQueue|8|8|13|45
BRuleEngine|2|2|4|22
CommandLine|4|4|11|38
LPBRuleEngine|6|6|7|20
LPInterpreter|2|2|4|24
N3JenaWriterCommon|12|12|23|59
Node|31|31|35|43
ParserBase|26|26|28|45
Rule|7|7|10|30
BVDecompose|4|4|16|21
BVDecomposeSegCVSub|4|6|22|26
DatabaseUtils|18|18|27|62
Experiment|3|4|19|45
NearestNeighbourSearch|14|14|14|21
Node|11|11|11|21
RegOptimizer|9|9|12|24
ResultMatrix|27|36|54|134
Rule|3|5|8|37
Script|4|4|8|30
TestInstances|3|14|27|54
XMLDocument|23|23|28|43
