Class|0.999|0.9|0.75|0.5
FreeColClient|35,8,5,3(4),2(6),1(3)|29,8,6,5,3(4),2(6),1(3)|11,8,6(2),5(2),3(5),2(8),1(3)|3(9),2(13),1(22)
FreeColObject|32,15,4,1(12)|32,15,4,1(12)|14,13(2),4(2),2,1(13)|4,3,2(5),1(46)
FreeColServer|62,3,2(4),1(2)|60,3,2(5),1(2)|27,11,4,3(3),2(10),1(4)|5,3(3),2(12),1(37)
ImageLibrary|47,3,1(20)|46,3,1(21)|45,3,1(22)|3(2),2(4),1(56)
Specification|122,1(10)|120,1(12)|46,13,7,5,4,3(7),2(10),1(16)|3(8),2(19),1(70)
CandidateURI|50,3(2),2(2),1(8)|50,3(2),2(2),1(8)|28,10,7,3(2),2(3),1(11)|3(3),2(8),1(43)
CrawlController|148,7,2,1(5)|148,7,2,1(5)|114,7,4(2),3,2(7),1(16)|5,4,3(3),2(13),1(118)
Heritrix|135,2,1(3)|132,2(2),1(4)|37,26,24,7,5(2),4,3(3),2(4),1(15)|16,3(5),2(9),1(91)
SettingsHandler|18,9,6,2(2),1(13)|18,9,6,2(2),1(13)|12,8,6(2),2(2),1(14)|4,3(4),2(2),1(30)
WorkQueue|43,4(2),3,2,1(3)|43,4(2),3,2,1(3)|35,4(2),3(2),2(2),1(6)|4,3(2),2(7),1(35)
BRuleEngine|22,6|22,6|13,6(2),3|3,2(4),1(17)
CommandLine|37,3,2,1|37,3,2,1|14,13,4,3,2(2),1(5)|3,2(3),1(34)
LPBRuleEngine|21,4,3(2),2,1|21,4,3(2),2,1|13,8,4,3(2),2,1|4(2),3(2),2(4),1(12)
LPInterpreter|34,1|34,1|18,11,5,1|5,3(2),2(3),1(18)
N3JenaWriterCommon|48,9,2(2),1(8)|48,9,2(2),1(8)|33,8,4,3,2(2),1(17)|3(3),2(4),1(52)
Node|18,4,2,1(28)|18,4,2,1(28)|6,5,4,3,2(3),1(28)|2(9),1(34)
ParserBase|27,4,2,1(23)|27,4,2,1(23)|21,4(2),2(2),1(23)|4(2),3,2(3),1(39)
Rule|29,9,2,1(4)|29,9,2,1(4)|21,6,4(2),3,2,1(4)|4,3(3),2(5),1(21)
BVDecompose|34,2,1(2)|34,2,1(2)|6,3(6),2(5),1(4)|3(6),2(5),1(10)
BVDecomposeSegCVSub|43,2,1(2)|41,2,1(4)|5,3(7),2(7),1(7)|3(7),2(7),1(12)
DatabaseUtils|58,8,1(16)|58,8,1(16)|40,8,3(4),2,1(20)|6,4,3(5),2(2),1(53)
Experiment|60,1(2)|59,1(3)|25,4(2),3(6),2,1(9)|3(7),2(3),1(35)
NearestNeighbourSearch|12,3,2,1(11)|12,3,2,1(11)|12,3,2,1(11)|3(3),2,1(17)
Node|17,6,4,3(7),1|17,6,4,3(7),1|17,6,4,3(7),1|5,4,3(10),2,1(8)
RegOptimizer|33,1(8)|33,1(8)|18,8,5,2,1(8)|8,3(2),2(6),1(15)
ResultMatrix|136,2(2),1(24)|127,2(2),1(33)|47,46,7,5,4,3,2(4),1(44)|3(9),2(12),1(113)
Rule|45,1(2)|43,1(4)|29,7,4,3,1(4)|5,3(2),2(2),1(32)
Script|34,1(3)|34,1(3)|24,4,2(3),1(3)|3,2(5),1(24)
TestInstances|95,1(2)|62,3(11),1(2)|13,7(2),6(2),3(17),2(2),1(3)|3(19),2(5),1(30)
XMLDocument|34,2,1(21)|34,2,1(21)|14,7(2),3,2(2),1(22)|5,3(2),2(6),1(34)
